id,name,degree,peel,diversity,betweenness,pagerank,norm_peel,norm_diversity,norm_betweenness,norm_pagerank
95,Brienne of Tarth,45,13,2.2085045070911025,0.0322519188851942,0.007360663948709288,1.0,0.8954479149971326,0.16787415537423406,0.206217081659032
96,Bronn,25,10,2.0334586357769107,0.002900049616921743,0.0036173592583556608,0.7692307692307693,0.8244747926902177,0.0150950206006999,0.10134429105423172
97,Brus Buckler,3,3,0.6365141682948128,0.0,0.0004962410006141684,0.23076923076923078,0.2580774832180193,0.0,0.013902736445963699
98,Brusco,2,2,0.6931471805599453,0.0,0.00048234532156257845,0.15384615384615385,0.28103958838465737,0.0,0.013513433741526025
99,Bryce Caron,5,3,1.3321790402101223,0.005174681787883564,0.0007808479620281721,0.23076923076923078,0.540137880692053,0.02693468681859343,0.021876312934662405
100,Brynden Rivers,2,2,0.6931471805599453,0.0,0.00034582459960581975,0.15384615384615385,0.28103958838465737,0.0,0.009688655832347928
101,Brynden Tully,19,10,1.9862665178647392,0.002227036007584247,0.002297805127218125,0.7692307692307693,0.8053405398720461,0.011591923881863645,0.06437553335649465
102,Bump,1,1,-0.0,0.0,0.0003438797960077635,0.07692307692307693,-0.0,0.0,0.00963417002438471
103,Butterbumps,2,2,0.6931471805599453,0.0,0.00028881617757795474,0.15384615384615385,0.28103958838465737,0.0,0.008091502300751873
104,Byam Flint,1,1,-0.0,0.0,0.00022422839870534254,0.07692307692307693,-0.0,0.0,0.006282004765915426
105,Caggo,5,4,0.9502705392332347,0.0025157232704402514,0.0008363301136136455,0.3076923076923077,0.3852913907612414,0.013094567200289547,0.02343070632415095
106,Caleotte,4,4,1.3862943611198906,7.299694615597098e-05,0.0005345145042969219,0.3076923076923077,0.5620791767693147,0.0003799557081999737,0.014975010671403326
107,Camarron,1,1,-0.0,0.0,0.00027871270085558166,0.07692307692307693,-0.0,0.0,0.007808442307955559
108,Captain Myraham,1,1,-0.0,0.0,0.00024883518304029466,0.07692307692307693,-0.0,0.0,0.006971390844389611
109,Captain Myraham Daughter,1,1,-0.0,0.0,0.00023373694004404007,0.07692307692307693,-0.0,0.0,0.006548396990769585
110,Catelyn Stark,75,13,2.3173459324919827,0.054973667953404234,0.015210743688076967,1.0,0.9395781520546537,0.28614291473174663,0.4261456840138456
111,Cayn,3,3,0.6365141682948128,7.375371188878151e-06,0.00036926014351763804,0.23076923076923078,0.2580774832180193,3.838947422978814e-05,0.01034522832448496
112,Cedra,2,2,0.6931471805599453,0.0,0.00041553740026838533,0.15384615384615385,0.28103958838465737,0.0,0.011641736479295948
113,Cedric Payne,1,1,-0.0,0.0,0.00022433150817157356,0.07692307692307693,-0.0,0.0,0.006284893490813851
114,Cellador,4,4,1.0397207708399179,1.584208608589579e-06,0.00044318896857332914,0.3076923076923077,0.421559382576986,8.245949118570244e-06,0.012416425523501097
115,Cersei Lannister,97,13,2.401216936234441,0.0887042665586028,0.023607038592018487,1.0,0.9735840212701168,0.4617137318130985,0.6613771038836576
116,Chataya,1,1,-0.0,0.0,0.0002855667441616118,0.07692307692307693,-0.0,0.0,0.008000465856100562
117,Chayle,2,2,0.6931471805599453,0.0,0.00029629599567069934,0.15384615384615385,0.28103958838465737,0.0,0.008301057616573172
118,Chella,3,3,0.6365141682948128,0.0,0.0003413980984231853,0.23076923076923078,0.2580774832180193,0.0,0.009564642541943169
119,Chett,7,5,1.277034259466139,9.588494251054921e-05,0.0009116824914914143,0.38461538461538464,0.517779185574327,0.0004990897997221139,0.025541785918369742
120,Chiggen,3,3,1.0986122886681096,0.0,0.00036212541882293936,0.23076923076923078,0.44543720880779086,0.0,0.010145341179081536
