id,name,degree,peel,diversity,betweenness,pagerank,norm_peel,norm_diversity,norm_betweenness,norm_pagerank
73,Hamund Hroarsson the Lame,2,2,-0.0,0.0,0.0009763320914753606,0.16666666666666666,-0.0,0.0,0.026934685564498604
74,Njal Thorgeirsson,64,12,2.091807695442632,0.11246023059399946,0.02599790504403866,1.0,0.9687491047405764,0.5361686304728561,0.7172205070497218
75,Thorgeir Thorolfsson Gollnir,2,1,0.6931471805599453,0.002728386876418942,0.0007580142262535852,0.08333333333333333,0.3210073813591232,0.013007935758293851,0.02091181373205151
76,Thorolf,1,1,-0.0,0.0,0.0005406097817830375,0.08333333333333333,-0.0,0.0,0.014914141010580306
77,Asgerd Askelsdottir,3,2,1.0986122886681096,0.0029195546916033635,0.00084322985573816,0.16666666666666666,0.5087846619089057,0.013919352933205714,0.023262710732558194
78,Askel the Silent,1,1,-0.0,0.0,0.00045736599092011706,0.08333333333333333,-0.0,0.0,0.012617642358465452
79,Thorir Thorgeirsson from Holt,4,3,1.0397207708399179,8.798803711708295e-05,0.0007340615697217496,0.25,0.4815110720386848,0.0004194942968717191,0.02025101677807194
80,Thorleif Thorisson Crow,16,12,0.6885673693022826,0.0010287238358012787,0.0023614759430289475,1.0,0.3188863986008096,0.004904573352402365,0.06514751747788648
81,Thorgrim Thorisson the Tall,13,9,1.2636256721237273,0.0016802609588835956,0.0022123911925760005,0.75,0.5852049599320551,0.008010860482885183,0.06103462299149931
82,Thorgeir Skorargeir Thorisson,29,12,1.60652280360619,0.016918953999381817,0.007072969603549085,1.0,0.7440060246118831,0.08066329178739763,0.1951264471814801
83,Bergthora Skarphedinsdottir,21,9,1.9135484277609518,0.012241110795721051,0.006596955863189039,0.75,0.8861944290146143,0.058361071964211746,0.1819943576671386
84,Skarphedin,1,1,-0.0,0.0,0.000300911043634139,0.08333333333333333,-0.0,0.0,0.008301421630956598
85,Valgard Jorundarson the Grey,9,5,1.5229550675313184,0.034471293535521155,0.0020340318679880603,0.4166666666666667,0.7053044892441216,0.16434633068015747,0.05611411247338965
86,Hrafn the Foolish,2,1,0.6931471805599453,0.02692222691017218,0.0009122361067275965,0.08333333333333333,0.3210073813591232,0.12835518347653727,0.025166429445293192
87,Valgard,2,1,-0.0,0.024266168404556684,0.0011577950963278425,0.08333333333333333,-0.0,0.11569208253952366,0.03194081925606336
88,Aevar,2,1,-0.0,0.021602073413296365,0.001289461891164482,0.08333333333333333,-0.0,0.10299066662236782,0.03557319367986333
89,Vemund the Eloquent,2,1,-0.0,0.018929941936391217,0.0013733730308045887,0.08333333333333333,-0.0,0.09025093572506972,0.03788810290111988
90,Thorolf Pus-Nose,2,1,-0.0,0.01624977397384124,0.0014118617284817718,0.08333333333333333,-0.0,0.07747288984762936,0.03894991473622551
91,Thrand the Old,2,1,-0.0,0.013561569525646433,0.001453271900565992,0.08333333333333333,-0.0,0.06465652899004676,0.0400923231175528
